NAME,START,LABEL
C2S_MODEL_RESPONSE,          211550,Chevrolet Aveo5
C2S_MODEL_RESPONSE,          211600,Chevrolet Beretta
C2S_MODEL_RESPONSE,          211800,Chevrolet Blazer (1994 And Older)
C2S_MODEL_RESPONSE,          211830,Chevrolet Blazer (1994 to 2005)
C2S_MODEL_RESPONSE,          211850,Chevrolet Blazer
C2S_MODEL_RESPONSE,          211860,Chevrolet Blazer EV
C2S_MODEL_RESPONSE,          211900,Chevrolet Bolt
C2S_MODEL_RESPONSE,          211950,Chevrolet Bolt EUV
C2S_MODEL_RESPONSE,          212000,Chevrolet Camaro (2002 & Older)
C2S_MODEL_RESPONSE,          212050,Chevrolet Camaro
C2S_MODEL_RESPONSE,          212070,Chevrolet Camaro Unspecified
C2S_MODEL_RESPONSE,          212200,Chevrolet Caprice
C2S_MODEL_RESPONSE,          212400,Chevrolet Caprice Classic
C2S_MODEL_RESPONSE,          212450,Chevrolet Captiva
C2S_MODEL_RESPONSE,          212600,Chevrolet Cavalier
C2S_MODEL_RESPONSE,          212650,Chevrolet City Express Cargo Van
C2S_MODEL_RESPONSE,          212800,Chevrolet Cobalt
C2S_MODEL_RESPONSE,          213050,Chevrolet Colorado (2012 and older)
C2S_MODEL_RESPONSE,          213060,Chevrolet Colorado
C2S_MODEL_RESPONSE,          213200,Chevrolet Corsica
C2S_MODEL_RESPONSE,          213400,Chevrolet Corvette
C2S_MODEL_RESPONSE,          213410,Chevrolet Corvette Stingray
C2S_MODEL_RESPONSE,          213415,Chevrolet Corvette E-Ray MHEV
C2S_MODEL_RESPONSE,          213430,Chevrolet Corvette Grand Sport DO NOT USE
C2S_MODEL_RESPONSE,          213480,Chevrolet Corvette Unspecified
C2S_MODEL_RESPONSE,          213490,Chevrolet Cruze
C2S_MODEL_RESPONSE,          213495,Chevrolet Cruze Limited
C2S_MODEL_RESPONSE,          213600,Chevrolet Equinox
C2S_MODEL_RESPONSE,          213650,Chevrolet Equinox EV
C2S_MODEL_RESPONSE,          213800,Chevrolet Express Van Unspecified
C2S_MODEL_RESPONSE,          213830,Chevrolet Express Cargo Van
C2S_MODEL_RESPONSE,          213860,Chevrolet Express Passenger Van
C2S_MODEL_RESPONSE,          214000,Chevrolet G-Series Van Unspecified
C2S_MODEL_RESPONSE,          214030,Chevrolet G-Series Cargo Van
C2S_MODEL_RESPONSE,          214100,Chevrolet HHR
C2S_MODEL_RESPONSE,          214200,Chevrolet Impala
