"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",3,1.92092083674014,3.42923244732356,10,14,3,1,9,16,6,3,1,3,19,0,2,NA,47,7500,24000,550,NA,84,1,62000,12,NA,10,2,3,4,4,4,3,3,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,2,3,3
"F-150",2,-2.61654281612566,-11.8881098470807,12,16,4,2,4,10,6,3,1,22,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,52000,46,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,3,3,3,3,3,3,4,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,1.80851638495967,-1.19589800116488,11,16,4,1,7,13,6,3,1,22,34,0,1,2,NA,NA,NA,510,36,NA,1,NA,23,NA,14,1,2,4,4,3,2,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,3,2,3
"F-150",3,1.80631587660888,-1.26394171264972,8,11,2,1,NA,23,NA,NA,NA,NA,31,NA,NA,1,NA,NA,NA,NA,NA,NA,1,127500,26,NA,NA,2,2,3,4,3,3,2,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,4,3,2,2
"F-150",3,3.19765623944053,2.13292964512101,6,14,1,1,3,10,1,1,1,5,2,2,2,1,50,10000,8000,750,NA,48,NA,53000,81,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,3,1,2,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",2,5.42849400898852,-11.8850096389882,11,11,4,1,NA,13,6,1,1,22,21,0,2,NA,NA,NA,NA,450,36,NA,1,NA,12,NA,1,9,1,4,4,3,3,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,1,1,1
"F-150",3,0.211745631447045,-1.47112936328138,11,13,4,1,NA,12,NA,NA,NA,NA,42,NA,NA,1,35,NA,17000,850,NA,48,1,57000,23,NA,NA,1,2,3,3,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,3,2,1,2
"F-150",3,1.52769326824431,2.84970311231162,12,16,4,1,NA,23,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,88800,33,NA,NA,2,1,4,4,3,2,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,4,4,1,1
"F-150",3,1.9659572113062,3.31540345827861,8,13,2,2,1,15,5,3,1,2,48,0,1,NA,9,500,30000,1000,NA,72,1,75000,47,NA,32,2,2,4,4,4,3,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,3,2,2,2,2
"F-150",1,-10.6238840496512,2.54073587537011,4,13,6,1,NA,14,NA,NA,NA,NA,48,NA,NA,NA,50,NA,NA,1200,NA,60,2,63000,14,NA,NA,2,4,3,3,3,3,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,4,3,3,3
